번호,분류,함수/수식,사용법,구문,예시,설명,결과,주의사항
11,문자열,LIKE,와일드카드를 사용해 문자열 패턴을 비교합니다.,문자열 LIKE 패턴 [ESCAPE 이스케이프문자],'apache_calcite' LIKE 'apache$_%' ESCAPE '$','_' 문자를 이스케이프 처리하여 실제 언더바가 포함된 문자열만 매칭되어 TRUE를 반환합니다.,TRUE,"기본 와일드카드(%, _)와 ESCAPE 구문은 Oracle과 동일합니다."
12,문자열,CONCAT,여러 문자열을 하나로 연결합니다.,"CONCAT(문자열1, 문자열2, ...)","CONCAT('202501', '15')",두 문자열을 연결한 '20250115'를 반환합니다.,20250115,Oracle의 CONCAT은 인자를 2개만 받을 수 있어 3개 이상 연결 시 CONCAT을 중첩해야 합니다. Calcite는 여러 개를 한 번에 연결할 수 있습니다.
13,문자열,REPLACE,문자열 내 특정 부분을 다른 문자열로 모두 치환합니다.,"REPLACE(대상문자열, 찾을문자열, 바꿀문자열)","REPLACE('2025-01-15', '-', '/')",'-'를 모두 '/'로 바꾼 '2025/01/15'를 반환합니다.,2025-01-15,Oracle과 구문 및 동작이 동일합니다.
14,문자열,LPAD,문자열의 왼쪽을 지정 문자로 채워 지정 길이를 맞춥니다.,"LPAD(문자열, 전체길이, 채울문자)","LPAD('7', 3, '0')",'7'의 왼쪽을 '0'으로 채워 길이 3인 '007'을 반환합니다.,7,Oracle과 구문 및 동작이 동일하여 혼동 우려가 적습니다.
15,문자열,RPAD,문자열의 오른쪽을 지정 문자로 채워 지정 길이를 맞춥니다.,"RPAD(문자열, 전체길이, 채울문자)","RPAD('AB', 5, '*')",'AB'의 오른쪽을 '*'로 채워 길이 5인 'AB***'를 반환합니다.,AB***,Oracle과 구문 및 동작이 동일하여 혼동 우려가 적습니다.
16,문자열,ASCII,문자열 첫 글자의 아스키(또는 유니코드) 코드값을 반환합니다.,ASCII(문자열),ASCII('A'),문자 'A'의 코드값인 65를 반환합니다.,65,Oracle에도 동일한 이름과 기능의 함수가 있어 혼동 우려가 적습니다.
17,문자열,CHR,코드값에 해당하는 문자를 반환합니다.,CHR(코드값),CHR(65),코드값 65에 해당하는 문자 'A'를 반환합니다.,A,Oracle과 이름 및 기능이 동일합니다.
18,문자열,REGEXP_REPLACE,정규식 패턴에 매칭되는 부분을 다른 문자열로 치환합니다.,"REGEXP_REPLACE(문자열, 정규식패턴, 치환문자열)","REGEXP_REPLACE('a1b2c3', '[0-9]', '')",숫자를 모두 제거한 'abc'를 반환합니다.,abc,"Oracle은 REGEXP_REPLACE(문자열, 패턴, 치환문자열, 시작위치, 매칭occurrence, 매치옵션)까지 세밀하게 제어 가능하지만, Calcite는 기본 3개 인자만 지원하는 경우가 많아 고급 옵션에서 차이가 발생합니다."
19,숫자,ABS,주어진 숫자의 절댓값을 반환합니다.,ABS(숫자),ABS(-5),-5의 절댓값인 5를 반환합니다.,5,"Oracle과 이름, 동작이 동일하여 혼동 우려가 적습니다."
20,숫자,ROUND,숫자를 지정한 소수 자리에서 반올림합니다.,"ROUND(숫자, 반올림할자릿수)","ROUND(3.14159, 2)",소수 둘째 자리까지 반올림한 3.14를 반환합니다.,3.14,"Oracle은 자릿수에 음수를 넣으면 정수부(10의 자리, 100의 자리 등)를 반올림할 수 있습니다(예: ROUND(1250,-2)=1300). Calcite도 이를 지원하지만 방언에 따라 음수 자릿수 처리가 다를 수 있어 확인이 필요합니다."
21,숫자,TRUNCATE,숫자를 지정한 소수 자리에서 버림(절삭)합니다.,"TRUNCATE(숫자, 자릿수)","TRUNCATE(3.98, 1)",소수 둘째 자리 이하를 버린 3.9를 반환합니다.,3.9,"Oracle은 함수명이 TRUNC(숫자, 자릿수)이며, TRUNC는 날짜에도 사용 가능한 다목적 함수입니다. Calcite의 TRUNCATE는 숫자 전용이라는 점에서 혼동하기 쉽습니다."
22,숫자,CEIL,숫자보다 크거나 같은 최소의 정수로 올림합니다.,CEIL(숫자),CEIL(3.14),3.14보다 크거나 같은 최소 정수인 4를 반환합니다.,4,"Oracle과 이름, 동작이 동일합니다(CEILING도 동의어로 지원)."
23,숫자,FLOOR,숫자보다 작거나 같은 최대의 정수로 내림합니다.,FLOOR(숫자),FLOOR(3.99),3.99보다 작거나 같은 최대 정수인 3을 반환합니다.,3,"Oracle과 이름, 동작이 동일합니다."
24,숫자,MOD,두 숫자를 나눈 나머지를 반환합니다.,"MOD(피제수, 제수)","MOD(10, 3)",10을 3으로 나눈 나머지인 1을 반환합니다.,1,"음수 처리 방식이 Oracle과 다를 수 있습니다. Oracle은 결과 부호가 피제수를 따르는 반면(MOD(-10,3)=-1), 일부 Calcite 방언은 제수의 부호를 따르도록 구현되어 있어 음수 연산 시 결과 확인이 필요합니다."
25,숫자,POWER,숫자의 거듭제곱을 계산합니다.,"POWER(밑수, 지수)","POWER(2, 10)",2의 10제곱인 1024를 반환합니다.,1024,"Oracle과 이름, 동작이 동일합니다."
26,숫자,SQRT,숫자의 제곱근을 계산합니다.,SQRT(숫자),SQRT(16),16의 제곱근인 4를 반환합니다.,4,"Oracle과 이름, 동작이 동일합니다."
27,숫자,EXP,자연상수 e의 거듭제곱을 계산합니다.,EXP(지수),EXP(1),e의 1제곱인 약 2.71828을 반환합니다.,약 2.71828,"Oracle과 이름, 동작이 동일합니다."
28,숫자,LN,숫자의 자연로그(밑 e)를 계산합니다.,LN(숫자),LN(2.71828),자연로그 값인 약 1을 반환합니다.,약 1,"Oracle과 이름, 동작이 동일합니다."
29,숫자,LOG10,숫자의 상용로그(밑 10)를 계산합니다.,LOG10(숫자),LOG10(100),100의 상용로그 값인 2를 반환합니다.,2,"Oracle은 LOG(밑수, 진수) 형태로 밑을 자유롭게 지정하는 함수를 기본으로 사용하고 LOG10은 별도 제공하지 않는 경우가 있어, 인자 순서와 함수명에 유의해야 합니다."
30,숫자,SIGN,"숫자의 부호를 -1, 0, 1로 반환합니다.",SIGN(숫자),SIGN(-7),음수이므로 -1을 반환합니다.,-1,"Oracle과 이름, 동작이 동일합니다."
31,날짜/시간,CURRENT_DATE,현재 날짜를 반환합니다.,CURRENT_DATE,CURRENT_DATE,오늘 날짜인 2026-09-10을 반환합니다.,2026-09-10,Oracle은 SYSDATE(현재 날짜+시간)를 주로 사용하며 CURRENT_DATE는 세션 타임존 기준으로 별도 존재합니다. 이름은 같지만 Oracle에서 더 널리 쓰이는 함수는 SYSDATE라는 점에서 혼동됩니다.
32,날짜/시간,CURRENT_TIME,현재 시각(시:분:초)을 반환합니다.,CURRENT_TIME,CURRENT_TIME,현재 시각인 15:30:00을 반환합니다.,15:30:00,"Oracle에는 CURRENT_TIME 함수가 없으며, TO_CHAR(SYSDATE,'HH24:MI:SS')로 대체해야 합니다."
33,날짜/시간,CURRENT_TIMESTAMP,현재 날짜와 시각(타임스탬프)을 반환합니다.,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,현재 날짜와 시각인 2026-09-10 15:30:00을 반환합니다.,2026-09-10 15:30,"Oracle에도 동일한 이름의 함수가 있지만, Oracle의 CURRENT_TIMESTAMP는 세션 타임존이 포함된 값을 반환하고 SYSTIMESTAMP는 DB 서버의 타임존 기준값을 반환한다는 차이가 있습니다."
34,날짜/시간,LOCALTIME,타임존 정보 없이 현재 시각을 반환합니다.,LOCALTIME,LOCALTIME,타임존 정보가 없는 현재 시각 15:30:00을 반환합니다.,15:30:00,Oracle에는 LOCALTIME이 없으며 LOCALTIMESTAMP만 지원합니다.
35,날짜/시간,LOCALTIMESTAMP,타임존 정보 없이 현재 날짜와 시각을 반환합니다.,LOCALTIMESTAMP,LOCALTIMESTAMP,타임존 정보가 없는 현재 날짜/시각을 반환합니다.,2026-09-10 15:30,"Oracle과 이름은 같지만, Oracle의 LOCALTIMESTAMP는 세션 타임존 기준이라는 점에서 정의가 약간 다릅니다."
36,날짜/시간,EXTRACT,"날짜/시간에서 특정 부분(연,월,일 등)을 추출합니다.",EXTRACT(추출단위 FROM 날짜),EXTRACT(MONTH FROM DATE '2026-09-10'),날짜에서 월 부분인 9를 반환합니다.,9,Oracle과 구문 및 동작이 동일하여 혼동 우려가 적습니다.
37,날짜/시간,DATE_TRUNC,날짜를 지정 단위 기준으로 절삭(내림)합니다.,"DATE_TRUNC(절삭단위, 날짜)","DATE_TRUNC('MONTH', DATE '2026-09-10')",월 단위로 절삭한 2026-09-01을 반환합니다.,2026-09-01,"Oracle은 TRUNC(날짜, 포맷문자열) 구문을 사용하며 인자 순서(날짜가 먼저, 단위가 나중)와 함수명 자체가 달라 매우 혼동되기 쉬운 함수입니다."
38,날짜/시간,TIMESTAMPADD,날짜/시간에 지정한 단위만큼 더합니다.,"TIMESTAMPADD(단위, 더할값, 날짜)","TIMESTAMPADD(MONTH, 3, DATE '2026-09-10')",3개월을 더한 2026-12-10을 반환합니다.,2026-12-10,"Oracle은 월 단위에 한해 ADD_MONTHS(날짜, 개월수) 전용 함수를 사용하며, 일/시/분 단위는 날짜 + INTERVAL 구문을 사용합니다. Calcite처럼 통합된 TIMESTAMPADD 함수가 없어 혼동이 발생합니다."
39,날짜/시간,TIMESTAMPDIFF,두 날짜/시간의 차이를 지정 단위로 계산합니다.,"TIMESTAMPDIFF(단위, 시작날짜, 종료날짜)","TIMESTAMPDIFF(DAY, DATE '2026-09-01', DATE '2026-09-10')",두 날짜의 차이인 9(일)를 반환합니다.,9,"Oracle은 날짜끼리 단순히 빼면 일수 차이가 숫자로 계산되며(종료일-시작일), 월 단위 차이는 MONTHS_BETWEEN 함수를 별도로 사용해야 합니다. 통합 함수가 없어 계산 방식 자체가 다릅니다."
40,날짜/시간,DAYOFWEEK,날짜가 요일 중 몇 번째 요일인지 반환합니다.,DAYOFWEEK(날짜),DAYOFWEEK(DATE '2026-09-10'),해당 날짜의 요일 번호(예: 목요일=5)를 반환합니다.,5 (목요일),"Oracle에는 DAYOFWEEK 함수가 없으며 TO_CHAR(날짜,'D')로 요일 번호를, TO_CHAR(날짜,'DAY')로 요일명을 구해야 합니다."
41,날짜/시간,LAST_DAY,해당 날짜가 속한 달의 마지막 날짜를 반환합니다.,LAST_DAY(날짜),LAST_DAY(DATE '2026-02-10'),2월의 마지막 날짜인 2026-02-28을 반환합니다.,2026-02-28,Oracle에도 동일한 이름과 기능의 함수가 있어 혼동 우려가 적습니다.
42,날짜/시간,DATE_FORMAT,날짜를 지정한 포맷의 문자열로 변환합니다.,"DATE_FORMAT(날짜, 포맷문자열)","DATE_FORMAT(DATE '2026-09-10', 'yyyy-MM-dd')",지정 포맷으로 변환한 문자열 '2026-09-10'을 반환합니다.,2026-09-10,"Oracle은 TO_CHAR(날짜, 포맷문자열)를 사용하며, 포맷 표기법도 Oracle은 'YYYY-MM-DD'(대문자, Oracle 전용 포맷모델) 방식인 반면 Calcite/MySQL 계열은 'yyyy-MM-dd'(Java 스타일) 표기를 사용해 포맷 문자 자체가 다릅니다."
43,조건부/NULL처리,CASE WHEN,조건에 따라 다른 값을 반환합니다.,CASE WHEN 조건1 THEN 값1 [WHEN 조건2 THEN 값2 ...] [ELSE 기본값] END,CASE WHEN 급여 > 5000 THEN '고액' ELSE '일반' END,"급여가 5000 초과이면 '고액', 아니면 '일반'을 반환합니다.",급여 > 5000: 고액 / 그 외: 일반,"Oracle과 구문 및 동작이 완전히 동일한 표준 SQL 문법으로, 혼동 우려가 없습니다."
44,조건부/NULL처리,COALESCE,여러 값 중 첫 번째로 NULL이 아닌 값을 반환합니다.,"COALESCE(값1, 값2, ...)","COALESCE(NULL, NULL, '기본값')",앞의 두 값이 NULL이므로 세 번째 값인 '기본값'을 반환합니다.,기본값,"Oracle과 이름, 동작이 동일한 표준 함수입니다. 다만 Oracle 개발자들은 관습적으로 NVL을 더 자주 사용하므로 실무에서 두 함수를 혼용하는 경우가 많습니다."
45,조건부/NULL처리,NULLIF,"두 값이 같으면 NULL을, 다르면 첫 번째 값을 반환합니다.","NULLIF(값1, 값2)","NULLIF(10, 10)",두 값이 같으므로 NULL을 반환합니다.,NULL,"Oracle과 이름, 동작이 동일하여 혼동 우려가 적습니다."
46,조건부/NULL처리,NVL,"값이 NULL이면 대체값을, 아니면 원래 값을 반환합니다.","NVL(값, 대체값)","NVL(NULL, 0)",값이 NULL이므로 대체값인 0을 반환합니다.,0,Oracle 고유 함수이지만 Calcite도 Oracle 방언 라이브러리를 활성화하면 지원합니다. 다만 표준 방언에서는 지원되지 않을 수 있어 COALESCE로 대체하는 것이 안전합니다.
47,조건부/NULL처리,DECODE,값을 여러 조건과 비교해 일치하는 결과를 반환합니다(IF-THEN-ELSE 체인).,"DECODE(비교대상, 값1, 결과1, 값2, 결과2, ..., 기본결과)","DECODE(부서코드, 10, '인사팀', 20, '영업팀', '기타')","부서코드가 10이면 '인사팀', 20이면 '영업팀', 그 외는 '기타'를 반환합니다.",10: 인사팀 / 20: 영업팀 / 그 외: 기타,"Oracle 고유의 레거시 함수로, Calcite는 Oracle 방언 라이브러리 활성화 시에만 지원됩니다. 표준 SQL 환경에서는 CASE WHEN으로 대체해야 하는 경우가 많아 혼동됩니다."
48,조건부/NULL처리,IF,조건이 참/거짓인지에 따라 값을 반환합니다.,"IF(조건, 참일때값, 거짓일때값)","IF(재고 > 0, '판매중', '품절')","재고가 0보다 크면 '판매중', 아니면 '품절'을 반환합니다.",재고 > 0: 판매중 / 그 외: 품절,"Oracle SQL 문에는 IF 함수가 없습니다(PL/SQL 절차문에서의 IF문과는 다름). Hive/MySQL 계열 방언 함수로, Oracle에서는 CASE WHEN으로만 표현 가능합니다."
49,집계함수,COUNT,조건에 맞는 행의 개수를 계산합니다.,COUNT(*|[DISTINCT] 컬럼),COUNT(DISTINCT 부서코드),중복을 제거한 부서코드의 개수를 반환합니다.,부서코드 고유 개수 (데이터에 따라 달라짐),Oracle과 구문 및 동작이 동일합니다.
50,집계함수,SUM,숫자 컬럼 값들의 합계를 계산합니다.,SUM(숫자컬럼),SUM(급여),전체 급여의 합계를 반환합니다.,급여 합계 (데이터에 따라 달라짐),Oracle과 동일합니다. 다만 Oracle은 SUM 결과에 대해 정밀도(NUMBER 타입) 처리 방식이 Calcite의 기본 타입 추론과 다를 수 있어 대용량 합계 시 타입 확인이 필요합니다.
51,집계함수,AVG,숫자 컬럼 값들의 평균을 계산합니다.,AVG(숫자컬럼),AVG(급여),전체 급여의 평균값을 반환합니다.,급여 평균 (데이터에 따라 달라짐),Oracle과 동일합니다.
52,집계함수,MIN,컬럼 값 중 최솟값을 반환합니다.,MIN(컬럼),MIN(입사일),가장 빠른 입사일을 반환합니다.,가장 빠른 입사일 (데이터에 따라 달라짐),Oracle과 동일합니다.
53,집계함수,MAX,컬럼 값 중 최댓값을 반환합니다.,MAX(컬럼),MAX(급여),가장 높은 급여값을 반환합니다.,가장 높은 급여 (데이터에 따라 달라짐),Oracle과 동일합니다.
54,집계함수,LISTAGG,그룹 내 여러 행의 값을 하나의 문자열로 연결합니다.,"LISTAGG(컬럼, 구분자) WITHIN GROUP (ORDER BY 정렬컬럼)","LISTAGG(사원명, ',') WITHIN GROUP (ORDER BY 사원명)",그룹 내 사원명을 쉼표로 연결한 하나의 문자열을 반환합니다.,"사원명1,사원명2,… (이름순)","Oracle과 함수명, 기본 구문이 동일하지만, 결과 문자열 길이 제한(Oracle 4000바이트 초과 시 에러)이나 중복 제거 옵션 등 세부 동작에 방언별 차이가 있을 수 있어 대용량 그룹 연결 시 유의해야 합니다."
55,윈도우함수,ROW_NUMBER,파티션 내에서 순서대로 고유한 순번을 부여합니다.,ROW_NUMBER() OVER (PARTITION BY 그룹컬럼 ORDER BY 정렬컬럼),ROW_NUMBER() OVER (PARTITION BY 부서 ORDER BY 급여 DESC),"부서별로 급여가 높은 순서대로 1,2,3...의 고유 순번을 부여합니다.","부서별 1, 2, 3, …",Oracle과 구문 및 동작이 완전히 동일합니다.
56,윈도우함수,RANK,"동일 값에는 같은 순위를 부여하고, 다음 순위는 건너뜁니다.",RANK() OVER (PARTITION BY 그룹컬럼 ORDER BY 정렬컬럼),RANK() OVER (ORDER BY 점수 DESC),"점수가 같으면 같은 순위(예: 1,2,2,4)를 부여하며 3위는 건너뜁니다.","1, 2, 2, 4, …",Oracle과 동작이 동일합니다.
57,윈도우함수,DENSE_RANK,"동일 값에는 같은 순위를 부여하되, 다음 순위를 건너뛰지 않습니다.",DENSE_RANK() OVER (PARTITION BY 그룹컬럼 ORDER BY 정렬컬럼),DENSE_RANK() OVER (ORDER BY 점수 DESC),"점수가 같으면 같은 순위(예: 1,2,2,3)를 부여하며 순위를 건너뛰지 않습니다.","1, 2, 2, 3, …",Oracle과 동작이 동일합니다. RANK와의 차이(순위 건너뜀 여부)를 혼동하지 않도록 주의해야 합니다.
58,윈도우함수,LAG,현재 행 기준 이전 행의 값을 가져옵니다.,"LAG(컬럼, 이전행수, 기본값) OVER (ORDER BY 정렬컬럼)","LAG(매출, 1) OVER (ORDER BY 월)",직전 월의 매출 값을 가져옵니다.,직전 월 매출 (첫 행은 NULL),Oracle과 구문 및 동작이 동일합니다.
59,윈도우함수,LEAD,현재 행 기준 다음 행의 값을 가져옵니다.,"LEAD(컬럼, 다음행수, 기본값) OVER (ORDER BY 정렬컬럼)","LEAD(매출, 1) OVER (ORDER BY 월)",다음 월의 매출 값을 가져옵니다.,다음 월 매출 (마지막 행은 NULL),Oracle과 구문 및 동작이 동일합니다.
60,윈도우함수,NTILE,파티션 내 행들을 지정한 개수의 그룹으로 균등 분할합니다.,NTILE(그룹개수) OVER (PARTITION BY 그룹컬럼 ORDER BY 정렬컬럼),NTILE(4) OVER (ORDER BY 급여 DESC),급여 순으로 정렬한 후 전체를 4개 그룹(4분위)으로 나눈 그룹번호를 반환합니다.,1~4,Oracle과 구문 및 동작이 동일합니다.
